,Course Number,Course Title,L,P,U
310,CS F401,Multimedia Computing,3,0,3
311,CS F402,Computational Geometry,3,0,3
312,CS F407,Artificial Intelligence,3,0,3
313,CS F413,Internetworking Technologies,3,0,3
314,CS F415,Data Mining,3,0,3
315,CS F422,Parallel Computing,3,0,3
316,CS F424,Software for Embedded Systems,3,1,4
317,CS F441,Selected Topics from Computer Science,0,0,3
318,CS F444,Real Time Systems,3,0,3
319,CS F446,Data Storage Technologies and Networks,3,0,3
320,CS F451,Combinatorial Mathematics,3,0,3
321,CS F468,Information Security Project,0,3,3
322,CS F469,Information Retrieval,3,0,3
323,CS G513,Network Security,3,1,4
324,CS G527,Cloud Computing,0,0,5
325,CS G553,Reconfigurable Computing,0,0,5
326,DE G513,Tribology,3,2,5
327,DE G514,Fracture Mechanics,3,2,5
328,DE G531,Product Design,3,2,5
329,ECE F211,Electrical Machines,3,1,4
330,ECE F212,Electromagnetic Theory,3,0,3
331,ECE F214,Electronic Devices,3,0,3
332,ECE F215,Digital Design,3,1,4
333,ECE F241,Microprocessors and interfacing,3,1,4
334,ECE F242,Control Systems,3,0,3
335,ECE F243,Signals & Systems,3,0,3
336,ECE F244,Microelectronic Circuits,3,0,3
337,ECE F311,Communication Systems,3,1,4
338,ECE F312,EM Fields and Microwave Engineering Laboratory,0,1,1
339,ECE F314,Electromagnetic Fields & Microwave Engineering,3,0,3
340,ECE F341,Analog Electronics,3,1,4
341,ECE F343,Communication Networks,3,0,3
342,ECE F344,Information Theory & Coding,3,0,3
343,ECE F414,Telecommunication Switching Systems & Networks,3,0,3
344,ECE F416,Digital Communication,3,0,3
345,ECE F418,Modern Communication Technologies,3,0,3
346,ECE F431,Mobile Telecommunication Networks,3,0,3
347,ECE F434,Digital Signal Processing,3,1,4
348,ECE F472,Satellite Communication,3,0,3
349,ECON F211,Principles of Economics,3,0,3
350,ECON F212,Fundamentals of Finance and Accounts,3,0,3
351,ECON F213,Mathematical and Statistical Methods,3,0,3
352,ECON F214,Economic Environment of Business,3,0,3
353,ECON F241,Econometric Methods,3,0,3
354,ECON F242,Microeconomics,3,0,3
355,ECON F243,Macroeconomics,3,0,3
356,ECON F244,Economics of Growth and Development,3,0,3
357,ECON F311,International Economics,3,0,3
358,ECON F312,"Money, Banking and Financial Markets",3,0,3
359,ECON F313,Issues in Economic Development,3,0,3
360,ECON F314,Industrial Economics,3,0,3
361,ECON F315,Financial Management,3,0,3
362,ECON F341,Public Finance Theory and Policy,3,0,3
363,ECON F342,Applied Econometrics,3,0,3
364,ECON F343,Economic Analysis of Public Policy,3,0,3
365,ECON F345,Behavioral Economics,3,0,3
366,ECON F351,Indian Economic Development,3,0,3
367,ECON F352,Management of Banks and Financial Institutions,3,0,3
368,ECON F353,Energy Economics and Policy,3,0,3
369,ECON F354,Derivatives and Risk Management,3,0,3
370,ECON F355,Business Analysis and Valuation,3,0,3
371,ECON F356,Strategic Financial Management,3,0,3
372,ECON F357,Management Control System,3,0,3
373,ECON F411,Project Appraisal,3,0,3
374,ECON F412,Security Analysis and Portfolio Management,3,0,3
375,ECON F413,Financial Engineering,3,0,3
376,ECON F414,Creating and Leading Entrepreneurial Organizations,3,0,3
377,ECON F415,New Venture Creation,3,0,3
378,ECON F417,Risk Management and Insurance,3,0,3
379,ECON F418,Quantitative Analysis of International Trade,3,0,3
380,ECON F422,Functions and Working of Stock Exchanges,3,0,3
381,ECON F434,International Business,3,0,3
382,ECON F435,Marketing Research,3,0,3
383,ECON F471,Resources and Environmental Economics,3,0,3
384,EEE F111,Electrical Sciences,3,0,3
385,EEE F211,Electrical Machines,3,1,4
386,EEE F212,Electromagnetic Theory,3,0,3
387,EEE F214,Electronic Devices,3,0,3
388,EEE F215,Digital Design,3,1,4
389,EEE F241,Microprocessors and interfacing,3,1,4
390,EEE F242,Control Systems,3,0,3
391,EEE F243,Signals & Systems,3,0,3
392,EEE F244,Microelectronic Circuits,3,0,3
393,EEE F245,Control System Laboratory,0,1,1
394,EEE F246,Electrical and Electronic Circuits Laboratory,0,2,2
395,EEE F311,Communication Systems,3,1,4
396,EEE F312,Power Systems,3,0,3
397,EEE F313,Analog & Digital VLSI Design,3,0,3
398,EEE F341,Analog Electronics,3,1,4
399,EEE F342,Power Electronics,3,1,4
400,EEE F345,Power Apparatus & Networks,3,0,3
401,EEE F346,Data Communication Networks,2,0,2
402,EEE F348,FPGA Based System Design Laboratory,0,2,2
403,EEE F411,Internet of Things,3,1,4
404,EEE F414,Telecommunication Switching Systems & Networks,3,0,3
405,EEE F416,Digital Communication,3,0,3
406,EEE F417,Computer Based Control System,3,0,3
407,EEE F418,Modern Communication Technologies,3,0,3
408,EEE F422,Modern Control Systems,3,0,3
409,EEE F425,Power System Analysis and control,3,0,3
410,EEE F426,Fiber Optics & Optoelectronics,3,0,3
411,EEE F427,Electric Power Utilization and Illumination,3,0,3
412,EEE F431,Mobile Telecommunication Networks,3,0,3
413,EEE F432,Medical Instrumentation,3,0,3
414,EEE F433,Electromagnetic Fields & Waves,3,0,3
415,EEE F434,Digital Signal Processing,3,1,4
416,EEE F435,Digital Image Processing,3,0,3
417,EEE F436,Electromagnetic Compatibility,3,1,4
418,EEE F462,Advanced Power Systems,3,0,3
419,EEE F472,Satellite Communication,3,0,3
420,EEE F473,Wind Electrical Systems,3,0,3
421,EEE F474,Antenna Theory and Design,3,1,4
422,EEE F475,Special Electrical Machines,3,1,4
423,EEE F476,Switchgear and Protection,3,1,4
424,EEE F477,Modelling of Field-Effect NanoDevices,3,0,3
425,EEE F478,Power Systems Laboratory,0,2,2
426,EEE G512,Embedded System Design,3,1,4
427,EEE G626,Hardware Software Co-Design,0,0,4
428,FIN F314,Investment Banking and Financial Services,3,0,3
429,FIN F414,Financial Risk Analytics and Management,3,0,3
430,GS F211,Modern Political Concepts,3,0,3
431,GS F212,"Environment, Development & Climate Change",3,0,3
432,GS F213,Development Theories,3,0,3
433,GS F221,Business Communication,3,0,3
434,GS F222,Language Lab Practice,0,3,3
435,GS F223,Introduction to Mass Communication,3,0,3
436,GS F224,Print and Audio Visual Advertising,2,1,3
437,GS F231,Dynamics of Social Change,3,0,3
438,GS F232,Introductory Psychology,3,0,3
439,GS F233,Public Policy,3,0,3
440,GS F234,Development Economics,3,0,3
441,GS F241,Creative Writing,2,1,3
442,GS F242,Cultural Studies,3,0,3
443,GS F243,Current Affairs,3,0,3
444,GS F244,Reporting and Writing for Media,3,0,3
445,GS F245,Effective Public Speaking,2,1,3
446,GS F311,Introduction to Conflict Management,3,0,3
447,GS F312,Applied Philosophy,3,0,3
448,GS F313,Marxian Thoughts,3,0,3
449,GS F321,Mass Media Content and Design,2,1,3
450,GS F322,Critical Analysis of Literature and Cinema,3,0,3
451,GS F325,Journalism,3,0,3
452,GS F326,Creative Thinking,2,1,3
453,GS F327,Selected Reading,3,0,3
454,GS F331,Techniques in Social Research,3,0,3
455,GS F332,Contemporary India,3,0,3
456,GS F333,Public Administration,3,0,3
457,GS F334,Global Business Technology & Knowledge Sharing,3,0,3
458,GS F342,Computer Mediated Communication,3,0,3
459,GS F343,Short Film and Video Production,2,1,3
460,GS F344,Copywriting,2,0,2
461,HSS F221,Readings from Drama,3,0,3
462,HSS F222,Linguistics,3,0,3
463,HSS F223,Appreciation of Indian Music,3,0,3
464,HSS F226,Postmodernism,3,0,3
465,HSS F227,Cross Cultural Skills,3,0,3
466,HSS F228,Phonetics & Spoken English,3,0,3
467,HSS F229,Introduction to Western Music,3,0,3
468,HSS F232,Introduction to Development Studies,3,0,3
469,HSS F233,Main Trends in Indian History,3,0,3
470,HSS F234,Main Currents of Modern History,3,0,3
471,HSS F235,Introductory Philosophy,3,0,3
472,HSS F236,Symbolic Logic,3,0,3
473,HSS F237,Contemporary Indian English Fiction,3,0,3
474,HSS F238,Sports and Society,3,0,3
475,HSS F244,Crime and New Media,3,0,3
476,HSS F245,"Gender, Science and Technology",3,0,3
477,HSS F246,Philosophy of Nāgārjuna,3,0,3
478,HSS F247,Social Informatics,3,0,3
479,HSS F248,Introduction to Disability Studies,3,0,3
480,HSS F249,Politics in India,3,0,3
481,HSS F266,Study Project,0,0,3
482,HSS F311,Introduction to Videogame Studies,3,0,3
483,HSS F312,Bureaucracy,3,0,3
484,HSS F313,Introduction to Contemporary Arts,3,0,3
485,HSS F315,"Society, Business, and Politics",3,0,3
486,HSS F316,Popular Literature and Culture of South Asia,3,0,3
487,HSS F317,Introduction to Globalization,3,0,3
488,HSS F318,Introduction to Anthropology,3,0,3
489,HSS F319,Lighting for Theatre and Films,0,0,2
490,HSS F323,Organizational Psychology,3,0,3
491,HSS F325,Cinematic Adaptation,3,0,3
492,HSS F326,Humanities and Design,2,1,3
493,HSS F327,Contemporary Drama,3,0,3
494,HSS F328,Human Resource Development,3,0,3
495,HSS F329,Musicology – An – Introduction,3,0,3
496,HSS F330,Appreciation of Art,3,0,3
497,HSS F331,Sankara’s Thoughts,3,0,3
498,HSS F332,Cinematic Art,0,0,3
499,HSS F333,Comparative Religion,3,0,3
500,HSS F334,Srimad Bhagavad Gita,3,0,3
501,HSS F335,Literary Criticism,3,0,3
502,HSS F336,Modern Fiction,3,0,3
503,HSS F337,English Literary Forms and Movements,3,0,3
504,HSS F338,Comparative Indian Literature,3,0,3
